日期,数据库记录数量,API接口返回的数据总量
2021-04-13,2509977,2509977
2021-04-14,2563203,2563203
2021-04-15,2377658,2377658
2021-04-16,2232154,2232154
2021-04-17,2162984,2162984
2021-04-18,2034494,2034494
2021-04-19,2224036,2224036
2021-04-20,2194860,2194860
2021-04-21,2190974,2190974
2021-04-22,2167691,2167691
2021-04-23,2017249,2017249
2021-04-24,1800882,1800882
2021-04-25,1738711,1738711
2021-04-26,1665171,1665171
2021-04-27,1446095,1446095
2021-04-28,1375668,1375668
2021-04-29,1579347,1579347
2021-04-30,1693355,1693355
2021-05-01,1349425,1349425
2021-05-02,906380,906380
2021-05-03,1108593,1108593
2021-05-04,1049439,1049439
2021-05-05,1310109,1310109
2021-05-06,1588397,1588397
2021-05-07,1630773,1630773
2021-05-08,1794898,1794898
2021-05-09,1386683,1386683
2021-05-10,1591935,1591935
2021-05-11,1590844,1590844
2021-05-12,1587482,1587482
2021-05-13,1541022,1541022
2021-05-14,1549951,1549951
2021-05-15,1365591,1365591
2021-05-16,1239463,1239463
2021-05-17,1447065,1447065
2021-05-18,1456083,1456083
2021-05-19,1449619,1449619
2021-05-20,1566906,1566906
2021-05-21,1657561,1657561
2021-05-22,1469727,1469727
2021-05-23,1307997,1307997
2021-05-24,1539791,1539791
2021-05-25,1394085,1394085
2021-05-26,1501308,1501308
2021-05-27,1528509,1528509
2021-05-28,1577452,1577452
2021-05-29,1441941,1441941
2021-05-30,1341169,1341169
2021-05-31,1356485,1356485
2021-06-01,995410,995410
2021-06-02,1486939,1486939
2021-06-03,1615510,1615510
2021-06-04,1534538,1534538
2021-06-05,1538276,1538276
2021-06-06,1378508,1378508
2021-06-07,1669727,1669727
2021-06-08,1639995,1639995
2021-06-09,1612095,1612095
2021-06-10,1625833,1625833
2021-06-11,1578227,1578227
2021-06-12,1089437,1089437
2021-06-13,1247566,1247566
2021-06-14,1216706,1216706
2021-06-15,1571671,1571671
2021-06-16,1630762,1630762
2021-06-17,1623345,1623345
2021-06-18,1641077,1641077
2021-06-19,1475776,1475776
2021-06-20,1323017,1323017
2021-06-21,1539712,1539712
2021-06-22,1107380,1107380
2021-06-23,1085536,1085536
2021-06-24,1100214,1100214
2021-06-25,1546621,1546621
2021-06-26,1382675,1382675
2021-06-27,1277616,1277616
2021-06-28,1117635,1117635
2021-06-29,1487456,1487456
2021-06-30,1618841,1618841
