stationnames,linename,lon,lat
富锦路,地铁1号线(富锦路-莘庄),121.42001197737257,31.39407815119172
友谊西路,地铁1号线(富锦路-莘庄),121.42335122582087,31.382957629137486
宝安公路,地铁1号线(富锦路-莘庄),121.42628965526123,31.371680039785065
共富新村,地铁1号线(富锦路-莘庄),121.4294616044448,31.356866412833142
呼兰路,地铁1号线(富锦路-莘庄),121.43310747987196,31.341553447554283
通河新村,地铁1号线(富锦路-莘庄),121.436928222904,31.332912780055825
共康路,地铁1号线(富锦路-莘庄),121.4424467135747,31.320856838499626
彭浦新村,地铁1号线(富锦路-莘庄),121.44409222144392,31.308467802003857
汶水路,地铁1号线(富锦路-莘庄),121.44554511296896,31.294521946927127
上海马戏城,地铁1号线(富锦路-莘庄),121.44750500177919,31.28142271502295
延长路,地铁1号线(富锦路-莘庄),121.45088832522472,31.273688898052004
中山北路,地铁1号线(富锦路-莘庄),121.45459575307713,31.26097018742221
上海火车站,地铁1号线(富锦路-莘庄),121.45134662497871,31.249252480810924
汉中路,地铁1号线(富锦路-莘庄),121.45397645386093,31.24359457371127
新闸路,地铁1号线(富锦路-莘庄),121.4637517629793,31.240586195331716
人民广场,地铁1号线(富锦路-莘庄),121.47063544949978,31.234938109246567
黄陂南路,地铁1号线(富锦路-莘庄),121.46874002480317,31.224755507253285
陕西南路,地铁1号线(富锦路-莘庄),121.45564009860006,31.21922548450731
常熟路,地铁1号线(富锦路-莘庄),121.4467056913956,31.21552026777441
衡山路,地铁1号线(富锦路-莘庄),121.44214620549006,31.20688239224145
徐家汇,地铁1号线(富锦路-莘庄),121.43372952077296,31.194665740632892
上海体育馆,地铁1号线(富锦路-莘庄),121.43182335702305,31.18388290258479
漕宝路,地铁1号线(富锦路-莘庄),121.43029467459823,31.17028964964568
上海南站,地铁1号线(富锦路-莘庄),121.42521918125507,31.15677611560311
锦江乐园,地铁1号线(富锦路-莘庄),121.40952720905494,31.143868394429962
莲花路,地铁1号线(富锦路-莘庄),121.39814802332572,31.13275059364296
外环路,地铁1号线(富锦路-莘庄),121.38839023279871,31.122824737234648
莘庄,地铁1号线(富锦路-莘庄),121.38111623835272,31.112981979578
莘庄,地铁1号线(莘庄-富锦路),121.38111623835272,31.112981979578
外环路,地铁1号线(莘庄-富锦路),121.38839023279871,31.122824737234648
莲花路,地铁1号线(莘庄-富锦路),121.39814802332572,31.13275059364296
锦江乐园,地铁1号线(莘庄-富锦路),121.40952720905494,31.143868394429962
上海南站,地铁1号线(莘庄-富锦路),121.42521918125507,31.15677611560311
漕宝路,地铁1号线(莘庄-富锦路),121.43029467459823,31.17028964964568
上海体育馆,地铁1号线(莘庄-富锦路),121.43182335702305,31.18388290258479
徐家汇,地铁1号线(莘庄-富锦路),121.43372952077296,31.194665740632892
衡山路,地铁1号线(莘庄-富锦路),121.44214620549006,31.20688239224145
常熟路,地铁1号线(莘庄-富锦路),121.4467056913956,31.21552026777441
陕西南路,地铁1号线(莘庄-富锦路),121.45564009860006,31.21922548450731
黄陂南路,地铁1号线(莘庄-富锦路),121.46874002480317,31.224755507253285
人民广场,地铁1号线(莘庄-富锦路),121.47063544949978,31.234938109246567
新闸路,地铁1号线(莘庄-富锦路),121.4637517629793,31.240586195331716
汉中路,地铁1号线(莘庄-富锦路),121.45397645386093,31.24359457371127
上海火车站,地铁1号线(莘庄-富锦路),121.45134662497871,31.249252480810924
中山北路,地铁1号线(莘庄-富锦路),121.45459575307713,31.26097018742221
延长路,地铁1号线(莘庄-富锦路),121.45088832522472,31.273688898052004
上海马戏城,地铁1号线(莘庄-富锦路),121.44750500177919,31.28142271502295
汶水路,地铁1号线(莘庄-富锦路),121.44554511296896,31.294521946927127
彭浦新村,地铁1号线(莘庄-富锦路),121.44409222144392,31.308467802003857
共康路,地铁1号线(莘庄-富锦路),121.4424467135747,31.320856838499626
通河新村,地铁1号线(莘庄-富锦路),121.436928222904,31.332912780055825
呼兰路,地铁1号线(莘庄-富锦路),121.43310747987196,31.341553447554283
共富新村,地铁1号线(莘庄-富锦路),121.4294616044448,31.356866412833142
宝安公路,地铁1号线(莘庄-富锦路),121.42628965526123,31.371680039785065
友谊西路,地铁1号线(莘庄-富锦路),121.42335122582087,31.382957629137486
富锦路,地铁1号线(莘庄-富锦路),121.42001197737257,31.39407815119172
徐泾东,地铁2号线(徐泾东-浦东国际机场),121.29487927379664,31.19026886327993
虹桥火车站,地铁2号线(徐泾东-浦东国际机场),121.31698004097382,31.19592455947813
虹桥2号航站楼,地铁2号线(徐泾东-浦东国际机场),121.32172604372542,31.19659605124147
淞虹路,地铁2号线(徐泾东-浦东国际机场),121.35484187218569,31.220001080800422
北新泾,地铁2号线(徐泾东-浦东国际机场),121.36940501710458,31.218305848849862
威宁路,地铁2号线(徐泾东-浦东国际机场),121.38242696981457,31.216666701571704
娄山关路,地铁2号线(徐泾东-浦东国际机场),121.39963073146214,31.21290652542745
中山公园,地铁2号线(徐泾东-浦东国际机场),121.41373564273864,31.22041076094213
江苏路,地铁2号线(徐泾东-浦东国际机场),121.4278857845281,31.221726714144122
静安寺,地铁2号线(徐泾东-浦东国际机场),121.44167858157878,31.22508411208896
南京西路,地铁2号线(徐泾东-浦东国际机场),121.45550746198595,31.23176643260941
人民广场,地铁2号线(徐泾东-浦东国际机场),121.46821242833369,31.23477693550272
南京东路,地铁2号线(徐泾东-浦东国际机场),121.47924428412828,31.23911535220653
陆家嘴,地铁2号线(徐泾东-浦东国际机场),121.49794977948895,31.240191163422505
东昌路,地铁2号线(徐泾东-浦东国际机场),121.51103796264,31.23538865645536
世纪大道,地铁2号线(徐泾东-浦东国际机场),121.52256449772648,31.23100111534736
上海科技馆,地铁2号线(徐泾东-浦东国际机场),121.54058926688705,31.22069337516232
世纪公园,地铁2号线(徐泾东-浦东国际机场),121.5466810635746,31.21147339791956
龙阳路,地铁2号线(徐泾东-浦东国际机场),121.55315410718144,31.20524621882207
张江高科,地铁2号线(徐泾东-浦东国际机场),121.58349951749912,31.20395598048356
金科路,地铁2号线(徐泾东-浦东国际机场),121.5977989899922,31.20636119514668
广兰路,地铁2号线(徐泾东-浦东国际机场),121.61697087791599,31.21308703855244
唐镇,地铁2号线(徐泾东-浦东国际机场),121.6519603736814,31.21643919587955
创新中路,地铁2号线(徐泾东-浦东国际机场),121.66947937207657,31.21564637885325
华夏东路,地铁2号线(徐泾东-浦东国际机场),121.67661293740723,31.198740900586728
川沙,地铁2号线(徐泾东-浦东国际机场),121.69373207022477,31.188757992937546
凌空路,地铁2号线(徐泾东-浦东国际机场),121.71974883887869,31.194859707038606
远东大道,地铁2号线(徐泾东-浦东国际机场),121.75109526861247,31.20142231923046
海天三路,地铁2号线(徐泾东-浦东国际机场),121.79262732526396,31.17059448437195
浦东国际机场,地铁2号线(徐泾东-浦东国际机场),121.80240290384077,31.151620958018466
新江湾城,地铁10号线(新江湾城-虹桥火车站),121.5021751410441,31.330789692342496
殷高东路,地铁10号线(新江湾城-虹桥火车站),121.50255892045165,31.323880574911836
三门路,地铁10号线(新江湾城-虹桥火车站),121.50360047101069,31.315134753722944
江湾体育场,地铁10号线(新江湾城-虹桥火车站),121.50969205437626,31.30504889283296
五角场,地铁10号线(新江湾城-虹桥火车站),121.5102569388246,31.30010468797861
国权路,地铁10号线(新江湾城-虹桥火车站),121.50580660602509,31.291376267954487
同济大学,地铁10号线(新江湾城-虹桥火车站),121.50206747269928,31.284577528844896
四平路,地铁10号线(新江湾城-虹桥火车站),121.49700435873925,31.276943044058065
邮电新村,地铁10号线(新江湾城-虹桥火车站),121.489822152937,31.270522310162953
海伦路,地铁10号线(新江湾城-虹桥火车站),121.48422026540928,31.26129204310376
四川北路,地铁10号线(新江湾城-虹桥火车站),121.47971268041323,31.253939587029944
天潼路,地铁10号线(新江湾城-虹桥火车站),121.47767315290058,31.24647455877888
南京东路,地铁10号线(新江湾城-虹桥火车站),121.48005813859892,31.240368502358432
