START_TIME,START_LAT,END_TIME,END_LNG,USER_ID,START_LNG,END_LAT,COM_ID,geometry
2021-01-01 00:01:27,22.630838096259694,2021-01-01 00:15:38,114.06049543794865,73711ce41c58c075086daa**********,114.06052095147834,22.630451131288133,,POINT (114.06052095147834 22.630838096259694)
2021-01-01 00:01:27,22.63092575425725,2021-01-01 00:15:38,114.06058315961249,0e99e106c42682a8434a38**********,114.06060867324372,22.630538789231867,,POINT (114.06060867324372 22.63092575425725)
2021-01-01 00:03:03,22.552855966166675,2021-01-01 00:17:56,114.08720030670399,5f3e845c37e63299b37d6a**********,114.08122824241256,22.558362923898038,,POINT (114.08122824241256 22.552855966166675)
2021-01-01 00:03:09,22.566833706360676,2021-01-01 00:07:11,114.10777466325912,7c5aac0ee549b5d8c9f510**********,114.10724779369129,22.57189391522189,,POINT (114.10724779369129 22.566833706360676)
2021-01-01 00:03:09,22.56690414179885,2021-01-01 00:07:11,114.10784515574106,edc439bf9798845f9d1850**********,114.10731828460963,22.57196435166254,,POINT (114.10731828460963 22.56690414179885)
2021-01-01 00:04:45,22.532182365752533,2021-01-01 00:21:15,114.01909046218701,3f79ca0d33c9bdbefa806a**********,113.999207740113,22.53589484325782,,POINT (113.999207740113 22.532182365752533)
2021-01-01 00:04:45,22.53221247286355,2021-01-01 00:21:15,114.01912059152396,1b1eb54e9c01da442854ea**********,113.99923786190396,22.53592495723979,,POINT (113.99923786190396 22.53221247286355)
2021-01-01 00:05:00,22.637826821030707,2021-01-01 00:11:55,114.04588927354312,c4f7562f8f9230ba6bb95e**********,114.0488110913822,22.64264048309405,,POINT (114.0488110913822 22.637826821030707)
2021-01-01 00:05:00,22.63776884309951,2021-01-01 00:11:55,114.0458312617271,088d08f44e65f3e971ee2d**********,114.04875307276927,22.642582511830025,,POINT (114.04875307276927 22.63776884309951)
2021-01-01 00:05:29,22.564089638582477,2021-01-01 00:11:55,114.24114622908826,caeab61520719ea04970f4**********,114.24077834314083,22.56508952197695,,POINT (114.24077834314083 22.564089638582477)
2021-01-01 00:06:37,22.544600832942475,2021-01-01 00:23:32,114.06684082205678,eab60c50c547719dadf354**********,114.07850206858147,22.538901395897373,,POINT (114.07850206858147 22.544600832942475)
2021-01-01 00:09:26,22.657715062311706,2021-01-01 00:24:27,114.00970507532716,d326afdcd2a33984e8b8c5**********,114.02320761520797,22.67455071019871,,POINT (114.02320761520797 22.657715062311706)
2021-01-01 00:09:26,22.657741485083353,2021-01-01 00:24:27,114.00973150898994,cc81ae3b8802919efed336**********,114.02323405561677,22.67457712619216,,POINT (114.02323405561677 22.657741485083353)
2021-01-01 00:09:44,22.55811340818162,2021-01-01 00:28:28,113.87849309242698,87f12ae18e5a88341e368f**********,113.88333458320072,22.571673493843548,,POINT (113.88333458320072 22.55811340818162)
2021-01-01 00:11:38,22.540168307195216,2021-01-01 00:27:17,113.96180645854099,5ac7a7bc5e7792f9fd05b0**********,113.96900391908636,22.534623812413567,,POINT (113.96900391908636 22.540168307195216)
2021-01-01 00:14:19,22.54437159931263,2021-01-01 00:26:46,114.10437690634517,363f814dfc6bd6ad459dd9**********,114.11368276245771,22.545277418075823,,POINT (114.11368276245771 22.54437159931263)
2021-01-01 00:14:20,22.53550961281947,2021-01-01 00:43:44,114.04819033457103,349d9d656fa98e4e8d9eb0**********,114.04960042566155,22.52336174059738,,POINT (114.04960042566155 22.53550961281947)
2021-01-01 00:14:27,22.57118360629564,2021-01-01 00:22:45,114.04111421727507,72865270cb9394f0fa3161**********,114.0526783869522,22.570384463024833,,POINT (114.0526783869522 22.57118360629564)
2021-01-01 00:15:22,22.557524739468022,2021-01-01 00:28:07,114.24178989534511,3d7f9bcc6293241b6b32ae**********,114.23564501851567,22.56486909850899,,POINT (114.23564501851567 22.557524739468022)
2021-01-01 00:15:34,22.65309278555272,2021-01-01 00:21:50,114.02309392791094,681257368e6c1b209b958f**********,114.0225155369431,22.657812110674453,,POINT (114.0225155369431 22.65309278555272)
2021-01-01 00:15:35,22.655106803633732,2021-01-01 00:28:30,114.00695396624813,3d3b3d1d02814c44987e40**********,114.01891273139992,22.653925251271378,,POINT (114.01891273139992 22.655106803633732)
2021-01-01 00:15:40,22.547096404422113,2021-01-01 00:31:12,114.07177901236747,72593bfceb8719c4f816f6**********,114.08373767833348,22.548000240076828,,POINT (114.08373767833348 22.547096404422113)
2021-01-01 00:16:35,22.53486153429695,2021-01-01 00:49:24,113.91854327456836,9b00e3320f3932ea0608a1**********,113.9589954201021,22.545110752408853,,POINT (113.9589954201021 22.53486153429695)
2021-01-01 00:18:32,22.638957273332974,2021-01-01 00:38:13,114.03359983693879,4702e5bc2ccd7d26f48ae0**********,114.03205852846402,22.62475338172653,,POINT (114.03205852846402 22.638957273332974)
2021-01-01 00:19:18,22.62713430308822,2021-01-01 00:27:02,114.03213025793687,2b42569239384f92ddd4a2**********,114.03356002717123,22.637135682324242,,POINT (114.03356002717123 22.62713430308822)
2021-01-01 00:19:42,22.51608176481781,2021-01-01 00:27:33,113.94441550507932,c19fafaebfc9981149c21a**********,113.9341710831785,22.519326618347023,,POINT (113.9341710831785 22.51608176481781)
2021-01-01 00:20:12,22.55616388755081,2021-01-01 00:23:27,114.03285918266285,e1bda6e18457f6b7ef9afd**********,114.02849306336871,22.553707900681456,,POINT (114.02849306336871 22.55616388755081)
2021-01-01 00:20:12,22.556240782630645,2021-01-01 00:23:27,114.0329361302522,0e080fda3bf212f30b9774**********,114.02857000090492,22.553784805376086,,POINT (114.02857000090492 22.556240782630645)
2021-01-01 00:20:12,22.52403596632939,2021-01-01 00:27:59,113.9275493087011,5c9dddaa3e3ac4f704c8d1**********,113.92869873274955,22.528524640773902,,POINT (113.92869873274955 22.52403596632939)
2021-01-01 00:22:15,22.55554640609651,2021-01-01 01:12:28,113.88026089929063,4df2e864c5854540e8f115**********,113.88099321146927,22.595339081847737,,POINT (113.88099321146927 22.55554640609651)
2021-01-01 00:22:15,22.55551548794812,2021-01-01 01:12:28,113.8802299565774,6cf37230a23ba36f086f9c**********,113.88096226969132,22.595308164412018,,POINT (113.88096226969132 22.55551548794812)
2021-01-01 00:22:17,22.51883164833324,2021-01-01 01:10:40,113.92748752111466,f21d26d2b3201e209e89b7**********,113.93427042531471,22.5458279180507,,POINT (113.93427042531471 22.51883164833324)
