VehicleNum,Lng,Lat,OccupancyStatus,Speed,DateTime
22223,114.249931,22.582132,1,61,2013-10-22 00:24:10
22223,114.248947,22.582884,1,62,2013-10-22 00:24:17
22223,114.24868,22.583033,1,63,2013-10-22 00:24:19
22223,114.247749,22.583401,1,66,2013-10-22 00:24:26
22223,114.246498,22.583851,1,63,2013-10-22 00:24:33
22223,114.246201,22.58395,1,62,2013-10-22 00:24:35
22223,114.244919,22.584551,1,30,2013-10-22 00:24:49
22223,114.244934,22.584967,1,40,2013-10-22 00:24:56
22223,114.245064,22.58515,1,45,2013-10-22 00:24:58
22223,114.24572,22.585899,1,50,2013-10-22 00:25:05
22223,114.24675,22.587049,1,44,2013-10-22 00:25:20
22223,114.24733,22.587717,1,44,2013-10-22 00:25:27
22223,114.248268,22.588633,1,25,2013-10-22 00:25:42
22223,114.248337,22.588734,1,0,2013-10-22 00:25:57
22223,114.248314,22.588751,1,0,2013-10-22 00:26:12
22223,114.248314,22.588751,1,0,2013-10-22 00:26:21
22223,114.248314,22.588751,1,0,2013-10-22 00:26:36
22223,114.248482,22.588966,1,30,2013-10-22 00:26:51
22223,114.249313,22.59,1,39,2013-10-22 00:27:06
22223,114.250481,22.591333,1,46,2013-10-22 00:27:21
22223,114.251518,22.592318,1,29,2013-10-22 00:27:36
22223,114.252884,22.592167,1,36,2013-10-22 00:27:51
22223,114.253983,22.591801,1,21,2013-10-22 00:28:06
22223,114.254646,22.591433,1,31,2013-10-22 00:28:21
22223,114.255516,22.591,1,11,2013-10-22 00:28:36
22223,114.255798,22.590982,1,0,2013-10-22 00:28:51
22223,114.255798,22.590967,1,0,2013-10-22 00:29:06
22223,114.255898,22.591,0,14,2013-10-22 00:29:21
22223,114.256836,22.590668,0,36,2013-10-22 00:29:36
22223,114.25843,22.590033,0,44,2013-10-22 00:29:51
22223,114.259804,22.589466,0,29,2013-10-22 00:30:06
22223,114.260147,22.589367,0,18,2013-10-22 00:30:21
22223,114.26133,22.5889,0,46,2013-10-22 00:30:36
22223,114.262947,22.588182,0,38,2013-10-22 00:30:51
22223,114.264053,22.58765,0,29,2013-10-22 00:31:06
22223,114.263649,22.586599,0,37,2013-10-22 00:31:21
22223,114.262871,22.585484,0,48,2013-10-22 00:31:36
22223,114.261414,22.583782,0,59,2013-10-22 00:31:51
22223,114.259651,22.582317,0,68,2013-10-22 00:32:06
22223,114.25753,22.580667,0,61,2013-10-22 00:32:21
22223,114.255981,22.579384,0,54,2013-10-22 00:32:35
22223,114.253952,22.577801,0,61,2013-10-22 00:32:51
22223,114.252029,22.576633,0,59,2013-10-22 00:33:06
22223,114.25058,22.576134,0,44,2013-10-22 00:33:21
22223,114.250198,22.574568,0,56,2013-10-22 00:33:36
22223,114.248619,22.572701,0,64,2013-10-22 00:33:51
22223,114.247734,22.571617,0,2,2013-10-22 00:34:06
22223,114.247749,22.57165,0,0,2013-10-22 00:34:14
22223,114.247765,22.57165,0,0,2013-10-22 00:34:29
22223,114.247765,22.57165,0,0,2013-10-22 00:34:44
22223,114.247765,22.571667,0,0,2013-10-22 00:34:59
22223,114.24762,22.571466,0,27,2013-10-22 00:35:14
22223,114.247253,22.570818,0,45,2013-10-22 00:35:22
22223,114.246063,22.569218,0,52,2013-10-22 00:35:37
22223,114.244553,22.567833,0,65,2013-10-22 00:35:52
22223,114.242714,22.566099,0,57,2013-10-22 00:36:07
22223,114.24147,22.564734,0,50,2013-10-22 00:36:22
22223,114.24028,22.563683,0,42,2013-10-22 00:36:37
22223,114.240196,22.56365,0,0,2013-10-22 00:36:45
22223,114.2397,22.56345,1,36,2013-10-22 00:37:01
22223,114.237999,22.5627,1,52,2013-10-22 00:37:16
22223,114.236519,22.561501,1,58,2013-10-22 00:37:31
22223,114.235016,22.559999,1,57,2013-10-22 00:37:46
22223,114.233215,22.558649,1,60,2013-10-22 00:38:01
22223,114.231316,22.557533,1,60,2013-10-22 00:38:15
22223,114.23027,22.556917,1,57,2013-10-22 00:38:24
22223,114.228317,22.556351,1,54,2013-10-22 00:38:39
22223,114.22625,22.556618,1,59,2013-10-22 00:38:54
22223,114.223732,22.55695,1,59,2013-10-22 00:39:09
22223,114.22155,22.557167,1,60,2013-10-22 00:39:24
22223,114.219017,22.557234,1,58,2013-10-22 00:39:39
22223,114.216965,22.557333,1,60,2013-10-22 00:39:54
22223,114.215698,22.557417,1,63,2013-10-22 00:40:02
22223,114.191383,22.556168,1,53,2013-10-22 00:42:23
22223,114.18898,22.555933,1,70,2013-10-22 00:42:38
22223,114.186752,22.556168,1,56,2013-10-22 00:42:53
22223,114.183899,22.556351,1,65,2013-10-22 00:43:08
22223,114.181686,22.557133,1,72,2013-10-22 00:43:23
22223,114.179153,22.559017,1,81,2013-10-22 00:43:38
22223,114.17778,22.560133,1,11,2013-10-22 00:43:53
22223,114.177803,22.560083,1,0,2013-10-22 00:44:08
22223,114.177719,22.56015,1,20,2013-10-22 00:44:23
22223,114.17627,22.561283,1,61,2013-10-22 00:44:38
22223,114.1744,22.562416,1,64,2013-10-22 00:44:53
22223,114.171516,22.56295,1,75,2013-10-22 00:45:08
22223,114.170052,22.562983,1,69,2013-10-22 00:45:16
22223,114.167534,22.562834,1,75,2013-10-22 00:45:31
22223,114.164398,22.562767,1,75,2013-10-22 00:45:46
22223,114.162781,22.562733,1,80,2013-10-22 00:45:54
22223,114.161568,22.562634,1,78,2013-10-22 00:46:01
22223,114.1586,22.561617,1,78,2013-10-22 00:46:16
22223,114.156281,22.560217,1,77,2013-10-22 00:46:31
22223,114.153801,22.558268,1,79,2013-10-22 00:46:46
22223,114.151566,22.556633,1,80,2013-10-22 00:47:01
22223,114.148415,22.555834,1,73,2013-10-22 00:47:16
22223,114.14695,22.555567,1,75,2013-10-22 00:47:24
22223,114.144279,22.5555,1,74,2013-10-22 00:47:39
22223,114.142784,22.555634,1,72,2013-10-22 00:47:47
22223,114.139771,22.555918,1,71,2013-10-22 00:48:02
22223,114.137367,22.556334,1,67,2013-10-22 00:48:17
22223,114.135666,22.557966,1,65,2013-10-22 00:48:32
22223,114.134171,22.559601,1,66,2013-10-22 00:48:47
22223,114.133049,22.560818,1,61,2013-10-22 00:48:56
22223,114.132484,22.561417,1,51,2013-10-22 00:49:02
22223,114.132034,22.561899,1,13,2013-10-22 00:49:10
22223,114.132034,22.561899,1,13,2013-10-22 00:49:11
22223,114.13205,22.561899,1,0,2013-10-22 00:49:18
22223,114.132065,22.561899,1,0,2013-10-22 00:49:33
22223,114.132065,22.561884,1,0,2013-10-22 00:49:48
22223,114.132065,22.561884,1,0,2013-10-22 00:50:03
22223,114.131866,22.562033,1,28,2013-10-22 00:50:18
22223,114.130402,22.561768,1,52,2013-10-22 00:50:33
22223,114.128365,22.561033,1,56,2013-10-22 00:50:48
22223,114.126686,22.559999,1,47,2013-10-22 00:51:03
22223,114.125267,22.559483,1,24,2013-10-22 00:51:18
22223,114.124947,22.560717,1,46,2013-10-22 00:51:33
22223,114.124802,22.561583,1,45,2013-10-22 00:51:41
22223,114.124649,22.563232,1,43,2013-10-22 00:51:56
22223,114.12455,22.563868,1,16,2013-10-22 00:52:04
22223,114.12455,22.563932,1,0,2013-10-22 00:52:19
22223,114.124496,22.563917,1,0,2013-10-22 00:52:34
22223,114.124466,22.564051,1,13,2013-10-22 00:52:49
22223,114.12355,22.563984,1,28,2013-10-22 00:53:04
22223,114.122353,22.563984,1,15,2013-10-22 00:53:19
22223,114.122147,22.565132,1,40,2013-10-22 00:53:34
22223,114.12188,22.566616,1,46,2013-10-22 00:53:49
22223,114.121117,22.566833,1,33,2013-10-22 00:54:04
22223,114.120064,22.566584,1,11,2013-10-22 00:54:19
22223,114.120049,22.56665,1,0,2013-10-22 00:54:27
22223,114.119965,22.566668,1,0,2013-10-22 00:54:42
22223,114.119637,22.565916,0,38,2013-10-22 00:54:58
22223,114.118629,22.565533,0,36,2013-10-22 00:55:13
22223,114.118286,22.56575,0,25,2013-10-22 00:55:21
22223,114.11808,22.567266,0,43,2013-10-22 00:55:36
22223,114.118179,22.568317,0,13,2013-10-22 00:55:51
22223,114.11953,22.568434,0,41,2013-10-22 00:56:06
22223,114.120819,22.568783,0,14,2013-10-22 00:56:21
22223,114.122032,22.569166,0,30,2013-10-22 00:56:36
22223,114.122566,22.570118,0,40,2013-10-22 00:56:51
22223,114.122169,22.571501,0,33,2013-10-22 00:57:06
22223,114.122581,22.571917,0,39,2013-10-22 00:57:14
22223,114.12413,22.57225,0,42,2013-10-22 00:57:29
22223,114.124252,22.572233,0,0,2013-10-22 00:57:44
22223,114.124229,22.572218,0,0,2013-10-22 00:57:59
22223,114.124252,22.572233,0,0,2013-10-22 00:58:14
22223,114.124214,22.572218,0,0,2013-10-22 00:58:29
22223,114.124435,22.572634,0,29,2013-10-22 00:58:44
22223,114.124168,22.573883,0,35,2013-10-22 00:58:59
